 Procedimentos hospitalares do SUS - por local de internação - Rio Grande do Sul
Valor total por Município e Ano/mês processamento
Período:Jan/2008-Abr/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"430535 Charqueadas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17395,60;32444,05;18898,26;16979,78;29496,99;35379,74;50947,06;87826,51;86556,64;66149,39;96823,45;32707,25;61569,13;68981,22;63224,74;36933,81;40865,57;40772,70;38031,11;53098,70;108409,29;38615,73;73727,93;78331,75;51166,99;246944,16;297083,21;716962,27;648056,65;3234379,68
"430540 Chiapetta";8772,39;17399,33;14819,68;18429,10;16563,28;11795,18;12209,03;9065,45;12235,83;14634,11;14282,53;22725,54;9955,65;7141,00;13724,89;16380,22;24767,15;11164,78;17241,29;17147,84;14703,97;15950,46;2526,72;20248,48;13081,44;-;24254,93;16521,16;14428,94;9531,94;14447,40;15439,76;11083,46;13161,65;15091,03;14982,80;11089,60;9043,60;19805,61;13429,87;10580,39;7489,69;20212,74;9200,26;10231,78;14405,10;12999,51;14633,91;25071,92;15023,93;10501,74;12658,80;12053,38;5346,03;17621,77;8151,61;3187,01;16544,63;14480,46;5364,13;6180,94;15128,68;11970,42;11857,65;10937,08;17826,28;15493,86;14464,65;19208,44;12616,38;14163,50;9337,50;11013,80;13715,75;4593,64;14033,59;8799,07;8032,90;14719,08;11092,49;15097,64;13578,92;20221,93;16792,73;12308,47;17096,65;14416,74;15650,30;16031,80;11647,31;16337,28;14331,43;17855,66;14442,22;13917,18;13815,72;8565,90;14991,16;15190,88;12794,24;17186,48;6303,25;19829,31;15862,11;10037,14;10934,90;18625,68;12545,41;13797,33;13063,31;14107,72;17646,24;12538,64;13695,39;20859,34;12969,60;20766,16;19634,90;13672,80;11217,16;18368,68;-;26718,33;12073,98;14927,22;8659,69;18107,34;11262,08;19025,65;16872,68;13176,74;9673,04;9681,83;16789,78;15794,26;11814,53;6724,93;27372,37;18565,01;14174,39;13496,38;14382,07;14130,42;14809,41;10232,20;11686,83;10486,95;15029,73;10379,78;9873,34;9742,73;7646,57;10782,70;19867,16;10036,31;10569,51;17126,06;14031,62;21568,97;44104,23;2220364,11
"430550 Ciríaco";7286,67;5337,58;7281,53;6071,09;7147,88;8755,17;6681,40;6219,42;4624,78;6011,50;4944,78;3166,88;-;6855,88;1729,67;6444,38;5647,31;5000,35;5840,19;5785,59;5636,36;6906,54;6018,85;2063,04;4558,25;-;-;1077,61;3654,82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140747,52
"430570 Condor";11002,19;9615,36;10375,38;11451,08;11964,48;12275,31;8753,10;9526,20;8979,63;8905,23;4886,14;17521,58;12016,96;11427,81;10812,18;6288,64;9082,03;11645,03;6684,29;12845,99;17216,57;7761,91;11238,19;14070,46;12048,12;12297,32;13892,97;21299,92;15581,19;19390,36;15858,89;18910,29;19621,13;23904,93;18933,50;18686,84;12663,42;13398,56;16514,69;10334,06;14839,58;6873,34;20196,66;12907,37;21978,46;12796,22;10656,56;11062,46;6431,44;4459,27;10979,32;11310,64;7129,17;6608,28;14224,23;10562,65;13581,56;10858,06;9563,95;10229,29;7129,62;7874,34;17937,75;11138,50;9237,91;10972,68;10649,51;9818,59;13932,97;15304,36;16051,85;14686,25;12927,23;9476,75;12369,25;11307,36;13268,83;18043,62;14620,09;35486,82;19027,49;16690,58;14725,78;22541,24;16064,12;15066,02;16215,71;14292,47;9229,45;11598,35;16898,73;25272,03;23288,03;11004,62;13396,29;10119,98;8527,22;14374,57;16381,00;19242,13;23550,43;16276,03;24416,61;24446,28;23074,56;22630,13;22505,41;26584,14;20820,97;17388,55;21517,91;23210,90;15692,50;15219,62;28042,89;18722,81;21841,18;20182,96;19724,10;19362,00;14929,33;-;35377,06;21836,21;34147,30;21607,15;27180,32;22175,40;24218,87;22174,09;27245,51;25634,88;20688,73;26924,80;12683,98;22251,54;26059,76;22043,03;22350,28;27224,00;23448,42;29184,58;22351,28;22308,97;24040,25;19718,41;25083,04;16886,15;10262,05;8176,05;9999,19;10626,51;14737,46;24630,43;25088,97;7277,81;16655,19;14247,19;21468,28;9990,51;2571263,49
"430580 Constantina";17644,31;22851,89;22999,31;26895,23;18782,50;20122,19;20888,22;15163,74;18255,91;17227,33;17483,25;14525,47;7446,82;41259,39;22519,15;27924,40;19731,24;22392,27;26646,68;20092,55;14308,46;25865,94;14011,20;19988,41;13153,92;17356,60;15207,63;17639,87;17701,26;17873,76;14354,36;18909,28;10443,78;16753,06;16648,39;13551,81;10906,50;15409,31;18749,19;9522,44;5716,04;13777,42;13551,80;16321,14;16286,17;15567,42;10921,99;18745,72;11054,61;10182,45;12575,48;7448,72;16135,20;20055,84;18625,66;19526,54;16150,06;11067,93;11888,44;11977,87;15220,30;14862,29;13175,29;17185,18;20099,31;18497,34;20512,88;18660,21;19834,09;19655,35;18342,32;24875,47;13251,28;20282,30;16864,80;15827,23;16344,38;28006,21;19326,46;18220,72;14737,78;21308,11;15331,53;15095,77;15190,67;11852,40;19127,86;13493,72;13922,31;16633,83;18049,27;18635,88;18018,57;15395,29;18713,47;14171,60;13401,71;13930,60;11021,46;18444,35;14852,54;16291,87;16403,14;13959,82;22922,54;22552,48;19941,90;16360,00;14637,88;21379,47;19025,13;21912,21;19627,67;21140,12;23734,51;18566,12;17618,52;20779,34;19299,17;15885,68;18910,98;17240,80;20487,03;24428,10;16755,51;21188,43;25119,84;18970,41;19146,19;18895,41;19432,04;16965,50;18145,40;16536,21;19762,31;19375,28;20235,20;21854,60;16795,48;18717,21;19240,54;20001,94;17257,40;17424,06;17504,52;17097,41;14214,91;8774,04;12295,62;15421,05;12714,48;17617,80;19066,50;23345,07;22730,80;21726,02;27742,17;19074,70;38555,16;33877,05;2863836,39
"430590 Coronel Bicaco";19865,71;16421,26;28830,06;27153,47;24125,16;19571,47;19758,55;12762,44;15476,11;12875,07;19212,69;13672,32;17760,83;15444,09;16017,05;11537,37;16356,03;14602,69;12181,90;9564,76;7565,30;14469,87;4148,18;10301,53;7021,63;7174,73;10341,84;7330,64;10397,87;9890,01;6319,32;7474,45;8468,59;12190,04;12641,16;9993,23;10774,46;10283,14;11696,27;4525,67;4474,66;12881,54;6005,43;6525,77;5561,36;5404,05;8311,53;7844,42;9640,38;13878,11;10470,17;8839,14;9030,54;8300,87;7524,74;7415,45;8515,06;12704,66;11868,99;7720,30;503,19;10195,01;2000,99;10870,82;13686,10;14071,90;14006,03;10256,18;20022,28;11168,69;7268,10;25773,28;6616,23;12780,44;9347,52;16445,59;15162,63;8596,48;32524,79;9019,49;12492,97;23519,92;13287,58;14955,08;10266,63;5221,30;16433,84;5628,86;5730,72;4802,97;11957,05;8015,29;6824,64;5577,87;6714,30;20301,19;20536,06;1817,62;15199,18;14868,26;12667,12;11730,70;19239,79;6411,28;9337,44;9949,31;8185,87;27457,08;5787,24;7563,22;12802,31;10467,67;9904,97;6746,16;17085,17;4269,22;10974,53;6593,93;3315,51;29614,29;3925,05;9870,43;7179,14;20056,05;11835,63;11846,64;14502,49;6114,98;17752,83;6131,76;15708,66;21331,84;16623,02;15424,73;16115,73;14744,76;20111,12;27683,07;27865,64;31188,59;26476,62;17575,70;17675,25;28109,67;24144,59;13845,73;15377,22;19813,61;15362,96;14138,83;12138,18;12623,70;14300,26;13694,77;16803,07;12012,85;15866,55;8854,08;51972,58;25374,26;2095856,65
"430600 Crissiumal";17103,20;68810,80;37138,01;30686,39;34400,71;36650,97;46940,50;27839,80;34212,24;43870,71;23759,24;34131,30;55357,75;42388,09;45488,86;28494,09;49666,56;36969,57;47107,78;38462,06;49601,94;48652,55;42862,55;42175,26;55618,61;34494,53;41599,85;40158,23;48003,41;52610,94;54857,38;55650,29;60606,66;47368,13;51743,98;55310,20;37374,92;39482,85;60053,98;59649,07;68429,39;52296,56;62977,11;71354,62;79248,49;70600,77;62452,12;53854,84;54670,05;50791,16;64960,40;64337,74;65068,86;71277,91;72643,76;53670,13;41627,53;46687,11;48150,41;46006,52;42799,87;42576,35;73412,22;117749,95;54657,11;53619,03;57788,41;55272,26;-;74473,68;124366,38;73661,96;42059,51;36167,85;48440,09;43805,49;48666,12;87515,79;75299,62;62305,19;59188,44;33348,30;62413,29;53430,78;50103,92;39451,92;50588,12;49961,62;53753,47;50714,39;57911,45;65475,92;55749,79;62078,00;69319,61;63518,60;59389,90;59615,90;60643,72;52177,38;53738,96;49377,64;52936,93;53042,55;45789,30;48131,56;62383,66;52789,25;47108,24;40576,95;42727,48;46656,91;45082,97;47387,76;51227,08;50605,42;53357,84;48142,83;59036,63;71738,22;47634,46;50779,19;52084,16;44178,73;62679,76;52848,94;63113,75;66647,66;57774,95;61101,03;59046,73;53479,12;52936,83;58267,04;58103,30;55330,42;55288,77;55423,16;48954,03;58527,41;62015,07;78762,81;59384,13;62101,44;62796,14;65356,95;72216,55;66140,84;39926,47;36291,98;60519,12;67267,01;38618,18;43500,20;53392,31;58500,44;27114,90;46953,36;57259,42;67311,24;8543397,02
"430610 Cruz Alta";289844,06;347100,19;348297,62;395680,27;409360,58;430531,03;513811,23;435180,31;515296,49;463107,13;474293,11;593595,97;523503,65;463992,11;400290,86;382830,97;298171,30;475293,11;372143,64;444118,52;418904,22;545473,55;464018,64;476551,39;536957,72;365943,92;511177,94;514919,39;567769,52;538313,91;543287,02;463664,72;542411,03;569992,84;720911,40;645807,39;662074,67;554862,04;1124724,79;557148,13;630958,26;703591,19;674428,77;451177,38;960022,77;789317,39;577943,28;662718,52;634037,96;676615,09;706206,46;598321,77;653710,01;644543,07;843280,67;436728,74;378668,45;660704,07;670686,01;284690,15;1108365,96;630404,15;878084,96;694138,98;565718,65;685429,65;865624,95;631200,69;633485,88;581626,24;519848,58;827138,84;573464,82;518586,41;605846,19;584932,48;514746,69;756354,08;615721,47;805344,82;552932,27;988587,51;644718,11;597524,85;436507,10;395382,53;415873,55;540114,37;560452,40;453002,04;601275,51;710643,14;630186,09;401151,33;695901,60;480767,06;409688,38;411661,29;451749,78;358939,20;499604,82;587247,60;462641,69;477666,93;311709,81;535323,23;464478,98;403331,24;606585,10;361618,17;345236,48;413607,39;460749,56;634621,09;680937,27;600119,48;556411,08;555350,42;553554,74;563828,62;611455,63;440181,11;488766,79;427517,61;498999,64;554172,80;470174,49;512491,23;549096,02;456766,49;535320,67;446092,81;456599,96;438694,94;391881,34;603853,11;836658,08;571498,37;667544,82;637981,13;631642,56;607389,79;526631,67;323092,99;824951,66;489363,76;677572,52;478232,21;455488,50;589944,31;637261,86;433800,80;673409,42;850109,76;831933,09;1129396,32;891982,94;822843,93;1352835,37;1355332,04;92126415,23
"430620 Cruzeiro do Sul";-;39628,02;28058,39;32476,81;25090,39;19036,36;21206,56;20502,13;22527,26;19939,45;16693,49;12253,96;17165,75;24366,45;20526,01;19404,41;20187,31;23812,91;20946,22;27439,37;16652,25;14334,14;18985,32;15689,66;4880,39;26518,90;12657,57;18306,26;16598,07;17526,15;18900,07;23123,10;24386,82;16614,13;14347,18;17384,21;13968,29;7857,47;16538,51;16385,36;15303,39;16125,95;15124,38;17892,39;7777,36;9210,62;16406,13;8453,33;15332,87;8210,47;14710,87;17823,22;9441,73;14501,30;16658,84;12250,68;18842,75;6454,83;12199,91;11192,28;8964,24;5063,37;6058,16;7141,71;12999,55;10748,31;9350,17;16212,31;15228,66;19281,95;16231,15;17735,57;14683,54;15250,14;15105,57;13149,73;13826,81;13713,64;15116,04;15253,79;20329,35;20207,91;21116,06;18628,67;17561,76;15092,01;22990,90;23732,00;24370,92;23986,73;18235,11;19754,16;17578,45;22325,73;17829,16;14986,55;18250,04;10894,74;20528,54;19482,35;20535,50;23241,78;25027,43;19490,24;19773,56;17276,89;14623,32;8200,90;8376,96;8781,09;10090,71;10476,07;14024,63;13683,16;13925,41;10193,62;12688,12;7777,30;8087,88;7585,43;6021,87;5211,09;5186,69;7318,01;20681,23;24591,65;19355,13;18205,07;19380,18;14823,07;18431,61;23106,44;9001,27;18212,06;17337,56;9000,01;14977,46;15594,99;12069,27;12398,93;8541,00;15964,44;11434,65;6624,49;7798,93;4442,55;8183,56;9801,19;22674,41;9021,87;17169,52;4200,19;4658,25;11347,80;2804,14;5696,02;7924,47;7758,58;33114,44;12299,50;2452047,54
"430630 David Canabarro";-;8497,73;8053,96;14141,00;7033,54;11150,03;7453,28;7269,29;4987,25;8543,85;8631,10;7694,32;6089,01;10403,11;5860,09;10652,50;8154,92;7946,56;6718,65;4638,21;10171,23;7689,97;3707,31;8367,84;12022,18;10436,08;11551,52;13570,76;9000,70;11944,82;14639,14;18645,94;16422,08;14231,59;13887,78;14529,05;16836,21;11550,87;20574,14;15199,12;10626,96;11847,83;12088,25;3142,24;8238,40;8774,99;14062,78;8940,17;12678,34;6665,32;14088,76;12303,09;15328,61;8907,54;11231,84;12523,43;15610,71;16747,90;17981,48;15898,49;7771,68;8568,36;12378,84;15890,73;14669,96;13447,58;19436,17;10796,89;21493,82;20595,44;15398,44;8867,26;8842,51;11812,19;19193,04;12298,86;19554,07;13056,26;13224,69;10374,78;25834,76;17039,04;17686,97;10999,00;11594,17;6911,19;11635,29;11482,30;15423,80;17635,23;20410,05;12777,59;15917,09;15772,29;12565,44;12517,07;12633,12;13201,53;16656,28;19393,01;13358,91;15125,72;17923,71;13696,41;16761,64;20310,18;12325,08;16703,29;18737,19;11872,14;7993,26;14575,21;18944,02;12380,46;22826,49;12629,76;16144,97;12481,77;11891,63;15603,74;10755,32;11380,20;5096,57;10145,31;9671,16;10694,52;16689,77;18076,14;13514,28;16379,17;12799,48;14192,30;13699,11;11673,99;13012,96;9939,90;6693,09;16028,38;12218,01;11401,18;10197,50;10860,38;7442,28;7614,29;5588,79;9043,69;8059,96;4624,07;4220,55;7794,25;9429,15;27796,77;27686,39;11686,88;14138,96;30010,82;20044,74;29064,16;46928,64;28955,29;2089874,63
"430640 Dois Irmãos";12510,67;884,13;12221,94;16334,35;30986,65;36920,72;48278,54;46392,31;43032,70;45710,79;11021,37;11453,32;-;-;-;169606,41;80931,02;57345,13;62080,70;86584,21;64153,46;71610,15;51206,11;53229,28;70693,20;42739,85;13299,13;91167,70;45411,59;65950,51;77021,38;58822,02;52895,73;65296,75;55887,65;42788,89;16151,53;-;-;-;-;173058,81;57059,50;-;23131,28;38304,88;47377,80;49990,45;33769,28;49363,42;52173,72;38973,80;53936,73;45359,80;57015,74;46456,43;56030,28;51933,37;54213,55;44723,66;46288,65;28003,34;61649,09;44171,25;63957,63;54368,73;55418,55;59563,70;59800,39;51288,66;39873,13;71857,58;36733,86;52629,28;35830,00;57814,22;51648,87;61235,51;63954,32;58987,77;52387,41;57760,04;63360,51;62920,69;54789,77;14635,63;109052,20;81910,72;66539,16;64357,29;59909,69;88782,05;72985,12;76542,61;84000,71;63652,44;64854,87;103361,88;75253,07;87299,23;94168,27;93864,74;79070,63;86289,75;71964,15;99784,78;96288,21;83872,23;53559,49;61440,45;69707,36;67089,98;71713,89;93154,80;79794,86;81922,90;97622,44;71708,08;79709,60;71911,68;53621,17;46287,49;72012,57;67032,56;56596,29;88899,16;89373,07;90001,11;71667,70;24402,75;62038,82;69201,27;47445,15;53488,66;50933,57;33085,20;79373,55;80905,06;65797,18;90869,95;60926,28;80087,57;41131,00;57616,09;71825,28;56381,01;77103,88;50314,83;78531,78;78477,33;73731,76;50298,26;89281,54;93980,83;86551,89;69897,12;87074,31;96695,89;121246,19;122735,64;9584481,06
"430645 Dois Lajeados";7174,28;7457,62;2789,44;22823,45;14482,66;12940,09;11861,22;14054,88;14465,16;19975,12;12970,10;11831,92;5409,73;10267,98;7300,83;11577,60;14750,61;10736,49;14199,09;16786,80;15622,87;12789,63;10239,62;13977,01;9073,22;10622,99;9054,97;15097,52;17450,27;13709,16;13976,75;13481,20;12044,49;13605,32;13302,91;14025,85;12915,33;9802,32;11605,53;16980,83;12193,64;13814,38;9248,81;18490,20;12386,28;12166,08;12202,12;11680,14;30210,02;14216,10;16105,10;18792,77;10924,34;28521,67;25606,47;11907,89;17398,28;22461,25;19841,59;13287,26;19947,68;16386,55;26140,82;-;35707,47;19887,98;22884,16;26250,49;18712,39;14913,74;28251,05;13950,02;14757,59;33443,03;25346,61;15120,69;19017,93;21034,36;19864,32;20673,34;18088,36;16745,33;15514,16;17712,28;13611,97;8565,85;17270,03;15036,13;16558,39;16325,36;19836,31;16565,75;16428,99;11987,98;23274,08;18928,62;-;36798,92;26952,21;23389,08;23295,14;27082,19;23483,68;24605,65;23757,51;18426,20;16535,00;19590,13;17935,48;15958,81;21331,94;18208,14;24585,42;23977,38;24819,30;21465,26;21109,03;18313,38;19986,41;24122,45;20923,36;22444,61;19352,46;21985,94;21417,13;22107,58;25031,68;22989,56;23025,66;24343,69;19584,55;22781,65;15994,21;14844,35;20285,32;17631,25;21208,81;20341,74;21739,98;15877,98;19659,20;22372,92;23055,80;22659,10;17587,55;15150,97;17987,29;11958,09;11554,36;11469,05;9156,17;6139,67;17666,95;11602,77;10468,53;14291,48;15968,80;19067,84;41197,70;39550,10;2797631,62
"430650 Dom Feliciano";3064,21;45725,36;20187,23;28901,16;14958,10;37330,58;26418,64;31517,01;28708,23;32990,81;27936,63;30059,10;27142,64;19690,38;39125,59;25307,62;28682,88;27104,37;36105,03;29962,34;31574,86;22098,72;27544,17;33434,96;29571,98;27008,14;23400,69;23805,12;23385,69;35666,88;21288,78;25731,66;24855,74;6487,64;2449,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29311,90;7487,53;16570,09;10664,82;13222,11;6262,11;15696,85;21697,61;18496,11;21570,39;20121,73;17150,60;16539,03;13412,03;18977,56;14376,08;17721,30;21376,49;15682,23;17986,20;26280,25;13834,84;19792,62;21246,15;22419,96;21995,89;14861,35;16605,24;25621,96;20684,29;17803,19;20661,27;32423,92;18518,31;14858,96;-;28513,27;-;18603,61;14045,31;14583,75;-;33656,31;27825,84;18148,12;18966,12;17249,45;19623,18;11529,61;19192,33;15766,17;17393,11;20972,96;21516,52;29218,80;20070,92;21370,08;18953,95;18281,80;22014,21;17998,75;19640,03;19710,27;14367,14;24031,46;26473,29;29014,65;27579,31;26755,27;25795,11;25580,36;29534,51;22069,50;22832,96;24965,26;24539,85;13042,95;30194,84;21768,98;23279,39;23586,11;25013,44;24840,94;19966,61;18374,60;20826,87;22033,22;26302,15;23459,17;13076,07;11511,31;8949,97;10901,39;9303,82;464,39;9609,18;17334,73;22794,64;13938,63;12063,21;20823,79;14031,20;2847028,33
"430660 Dom Pedrito";43909,94;43128,40;51933,93;76717,19;128706,85;72109,64;95690,92;91110,79;92999,55;81608,08;132053,06;91957,27;108410,67;75984,42;88037,59;95356,79;150223,20;115625,28;113994,11;52880,93;166048,08;99162,23;112956,94;94892,85;78602,80;101755,21;92039,72;96062,57;84896,13;104086,48;97565,54;117145,76;99911,44;98460,09;91649,61;110651,99;106556,89;89112,38;76629,85;82308,84;104715,70;103229,79;84146,27;89233,03;87542,27;87703,64;71953,97;64290,45;97740,95;72324,20;107983,67;92670,94;102037,41;96352,32;114646,69;131844,02;132167,16;94945,97;121093,68;90846,67;104641,64;99454,28;87867,53;108083,99;104416,37;99927,37;114901,20;150788,95;121781,78;115192,65;103479,84;-;181952,72;80307,65;75606,47;106235,23;123163,29;108747,43;127430,29;138139,18;137388,82;125540,76;132102,64;115904,93;143947,74;86775,50;133438,11;141169,64;133263,56;127751,73;126366,71;141575,74;141880,69;121158,63;157075,46;152812,99;91436,83;93110,31;160233,39;144726,36;138421,78;139729,25;131215,13;150395,86;136957,53;139295,50;152596,71;148867,77;135726,85;108693,73;135640,38;143315,94;140628,51;139013,68;135700,83;121308,28;155869,31;114227,06;126579,91;104618,35;135873,90;110574,12;142897,41;143090,93;129392,34;115262,99;146645,13;141788,51;154687,69;144509,00;116700,18;76076,73;137353,98;113878,21;90614,04;152225,73;142469,60;131705,03;141028,03;178633,76;134215,17;129937,02;132123,65;115707,83;128119,31;131232,92;118615,54;96314,11;101380,37;64981,36;176138,17;137189,57;106053,85;147938,48;135365,06;156185,56;155680,67;175941,91;516909,00;738085,58;19452506,01
"430670 Dona Francisca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7408,03;3479,56;1862,76;3352,53;3342,05;5241,26;2367,33;4385,57;3264,00;3970,73;4790,99;2976,09;3499,77;2994,61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52935,28
"430673 Doutor Maurício Cardoso";-;6928,03;6468,33;8706,14;8681,21;3266,11;4354,12;8921,33;6420,30;7483,00;8077,14;7131,42;10117,13;6467,12;9291,78;1699,43;9988,63;11604,30;8450,64;8448,10;5655,02;7901,18;6895,86;4022,02;2428,53;7137,97;6241,66;7671,44;6491,64;6390,61;5719,27;3430,54;4413,48;5585,56;5094,91;7392,62;5584,45;6140,31;5178,47;7182,95;6260,41;7859,34;4277,32;1375,40;5518,82;3650,57;4293,76;4329,70;2718,78;3850,53;2022,00;2766,62;2599,29;1740,99;5956,63;4225,23;1954,17;2787,01;2796,12;1341,43;3577,33;3803,62;4031,40;4804,44;5112,79;1791,76;1847,59;3230,47;1738,75;3145,62;1484,54;3043,66;1507,84;1494,83;745,26;1136,04;2547,33;2209,17;910,22;3109,87;2468,68;2748,45;1881,43;1262,99;-;1758,16;804,09;1606,95;1540,80;1817,44;2393,60;3696,01;1632,66;-;858,41;479,19;2799,75;694,34;1118,86;2173,43;5181,37;2070,19;3535,05;1063,89;913,34;-;2368,58;3111,46;1580,53;1917,01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;436136,06
"430680 Encantado";731,40;76514,19;24191,37;94981,83;44926,53;68778,01;60729,20;77289,07;54249,93;49081,83;46103,38;76270,35;42638,24;48305,30;81281,98;50292,84;77555,97;57427,98;67144,71;57824,24;57671,92;58903,05;50686,52;58098,34;38815,78;64365,11;43084,90;32014,97;93317,98;43955,08;82078,10;49741,42;84463,13;49602,81;48844,55;53807,41;53983,58;37456,54;68307,37;52656,29;47168,84;62945,89;50745,26;52317,19;56152,25;59872,44;47622,56;45351,95;32134,42;97366,62;46216,74;38035,30;49066,43;42945,73;34900,43;38735,09;36638,40;19066,57;81750,56;-;-;92500,25;34206,93;45109,94;53394,15;34208,05;79825,53;60023,02;75486,01;65868,32;49357,68;53188,26;56653,91;54397,70;54516,34;44153,43;58754,89;54100,18;55675,56;71991,80;65142,25;59492,61;57592,48;40310,13;55329,33;13804,58;43657,74;70445,28;66145,89;62887,11;76032,52;61396,60;61643,92;81794,64;66441,76;68094,93;65917,02;58416,88;49280,60;77041,83;83037,62;80272,17;81680,61;91262,16;75375,37;85928,36;94352,18;72381,80;90442,07;99004,34;83975,10;84809,60;87642,25;70282,52;99721,15;85466,06;71181,13;99804,83;50835,77;70087,08;83268,02;76104,88;94168,85;78313,03;83876,32;74558,81;93376,65;102547,03;82620,28;101022,47;81225,19;84436,04;53575,99;105730,50;81849,62;86654,38;90715,53;106133,20;89545,28;87930,54;105308,97;88071,42;102411,23;105465,84;85000,34;110611,85;71188,82;94505,46;103587,21;96009,29;155731,20;224515,53;294417,85;187616,22;279937,44;304926,91;375434,84;193397,27;441981,18;-;12326799,57
